EnsEMBL_Gene_ID	UACC893
ENSG00000000003	50.6765789053
ENSG00000001167	106.3420315509
ENSG00000005471	0.0662134909
ENSG00000066629	0.0588352908
ENSG00000154258	0.0211200016
ENSG00000154262	0.0000000000
ENSG00000154263	0.0832580163
ENSG00000154265	1.1188190014
ENSG00000154269	0.7388034312
ENSG00000154274	34.6640527042
ENSG00000154277	79.9865513822
ENSG00000154305	51.2636703345
ENSG00000154309	7.7796778589
ENSG00000154310	7.1335120203
ENSG00000066651	13.7526888202
ENSG00000154316	0.0000000000
ENSG00000154319	30.6395470558
ENSG00000154328	40.7608810234
ENSG00000154330	7.4363379342
ENSG00000154342	65.7315167643
ENSG00000154358	0.4375230356
ENSG00000154359	0.0000000000
ENSG00000154370	133.8744001921
ENSG00000154380	82.6083760692
ENSG00000154415	0.0000000000
ENSG00000066654	28.6794714390
ENSG00000154429	9.1624071767
ENSG00000154438	0.0000000000
ENSG00000154447	108.0550750804
ENSG00000154451	0.0000000000
ENSG00000154473	370.4954643237
ENSG00000154474	0.3240000244
ENSG00000154478	12.7327780944
ENSG00000154479	0.3657070177
ENSG00000154485	0.0000000000
ENSG00000154493	0.0287067983
ENSG00000066697	23.6133662374
ENSG00000154511	1.1760257196
ENSG00000154518	792.3332699360
ENSG00000154529	0.0000000000
ENSG00000154537	0.0000000000
ENSG00000154545	0.0000000000
ENSG00000154548	0.7797342352
ENSG00000154553	12.0927153841
ENSG00000154556	29.3671041560
ENSG00000154582	437.1385527940
ENSG00000154589	0.0000000000
ENSG00000066735	0.1819258384
ENSG00000154608	0.0000000000
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	34.8868462041
ENSG00000154640	22.4814103496
ENSG00000154642	0.6136273262
ENSG00000154645	0.0000000000
ENSG00000154646	0.0000000000
ENSG00000154654	2.0788829970
ENSG00000154655	0.1018682432
ENSG00000066739	8.2199997052
ENSG00000154678	0.0000000000
ENSG00000154710	44.2272701269
ENSG00000154719	137.6025055513
ENSG00000154721	12.1330859630
ENSG00000154723	273.3846676896
ENSG00000154727	8.0603242783
ENSG00000154734	136.5772991291
ENSG00000154736	0.0000000000
ENSG00000154743	27.0832018912
ENSG00000154760	0.1702794679
ENSG00000066777	67.4365124464
ENSG00000154764	0.0000000000
ENSG00000154767	69.0204153511
ENSG00000154768	1.5023360083
ENSG00000154781	23.6174562134
ENSG00000154783	39.0112753409
ENSG00000154803	35.2146919258
ENSG00000154813	48.5103277181
ENSG00000154814	29.0607450492
ENSG00000154822	0.0000000000
ENSG00000154832	113.2365263652
ENSG00000066813	0.0000000000
ENSG00000154839	13.4922255043
ENSG00000154845	109.2612782562
ENSG00000154856	1.3521301128
ENSG00000154864	0.0000000000
ENSG00000154874	0.0295788997
ENSG00000154889	72.8294881696
ENSG00000154898	0.0000000000
ENSG00000154914	10.5435870113
ENSG00000154917	65.2344330396
ENSG00000154920	84.9370204914
ENSG00000066827	28.2475442226
ENSG00000154928	0.0000000000
ENSG00000154930	31.2177825014
ENSG00000154945	97.3753197646
ENSG00000154957	7.1347159478
ENSG00000154975	0.0000000000
ENSG00000154978	385.7368816020
ENSG00000154997	0.7539975774
ENSG00000154999	88.8302569323
ENSG00000155008	54.3733062993
ENSG00000155011	0.0000000000
ENSG00000066855	71.1857295680
ENSG00000155016	0.8766254264
ENSG00000155026	0.0000000000
ENSG00000155034	209.6125561907
ENSG00000155052	0.0000000000
ENSG00000155066	494.0128670773
ENSG00000155070	0.7041442711
ENSG00000155085	1.2508924187
ENSG00000155087	0.0000000000
ENSG00000155090	89.4830836729
ENSG00000155093	9.0972816160
ENSG00000005483	53.5914764612
ENSG00000066923	1.3040477903
ENSG00000155096	180.4293386401
ENSG00000155097	76.0273916449
ENSG00000155099	2.0685662661
ENSG00000155100	20.7686009042
ENSG00000155111	20.0546113443
ENSG00000155115	217.7609165408
ENSG00000155130	205.1039755544
ENSG00000155158	6.9840199873
ENSG00000155189	30.6483406228
ENSG00000155229	157.6210643747
ENSG00000066926	83.2275061877
ENSG00000155249	0.0000000000
ENSG00000155252	0.2550336858
ENSG00000155254	114.7938571084
ENSG00000155256	62.7393483895
ENSG00000155265	0.6707854421
ENSG00000155269	0.0000000000
ENSG00000155275	19.8225973782
ENSG00000155282	0.0000000000
ENSG00000155287	111.4722051669
ENSG00000155304	12.7236265390
ENSG00000066933	6.1145990903
ENSG00000155307	0.0000000000
ENSG00000155313	13.1439057227
ENSG00000155319	0.0000000000
ENSG00000155324	18.4755821031
ENSG00000155329	4.9809150034
ENSG00000155330	20.7205435286
ENSG00000155352	95.1981626107
ENSG00000155363	173.5500035522
ENSG00000155366	519.2835875885
ENSG00000155367	23.9674388423
ENSG00000067048	0.0000000000
ENSG00000155368	1263.7041069340
ENSG00000155372	0.0000000000
ENSG00000155380	17.4066214647
ENSG00000155393	44.6072736569
ENSG00000155428	0.0000000000
ENSG00000155438	70.0488394071
ENSG00000155463	1218.3947842129
ENSG00000155465	0.2014116150
ENSG00000155495	3.3407484907
ENSG00000155506	423.4537979321
